iter	Passed	Remaining
427	706	944
428	708	942
429	709	940
430	710	938
431	713	937
432	714	935
433	715	932
434	716	931
435	717	928
436	727	937
437	728	935
438	730	932
439	731	930
440	731	927
441	732	925
442	733	922
443	734	920
444	736	917
445	737	915
446	738	913
447	739	911
448	740	908
449	742	907
450	744	905
451	745	903
452	746	901
453	747	898
454	748	896
455	749	893
456	750	891
457	751	889
458	752	886
459	753	884
460	754	882
461	755	880
462	757	879
463	759	876
464	760	874
465	761	872
466	762	870
467	763	867
468	764	865
469	765	863
470	766	860
471	767	858
472	768	856
473	769	854
474	770	851
475	772	850
476	774	848
477	775	846
478	776	844
479	777	842
480	778	839
481	779	837
482	780	835
483	781	833
484	783	831
485	784	829
486	785	827
487	786	825
488	787	823
489	789	821
490	790	819
491	791	817
492	792	815
493	793	813
494	795	811
495	796	808
496	797	806
497	798	804
498	799	802
499	800	800
500	801	798
501	803	796
502	804	794
503	805	792
504	806	790
505	807	788
506	808	786
507	809	784
508	810	782
509	811	780
510	812	777
511	813	775
512	815	773
513	816	771
514	817	770
515	819	768
516	820	766
517	821	764
518	822	761
519	823	759
520	824	757
521	825	755
522	826	753
523	827	751
524	828	749
525	829	747
526	829	744
527	831	743
528	833	742
529	834	740
530	835	738
531	836	736
532	837	734
533	838	732
534	839	729
535	841	728
536	842	726
537	843	724
538	844	722
539	845	720
540	847	719
541	849	717
542	850	716
543	852	714
544	854	713
545	855	711
546	858	710
547	859	708
548	860	707
549	863	706
550	864	704
551	865	702
552	867	701
553	870	700
554	871	699
555	874	698
556	876	696
557	878	696
558	880	694
559	882	693
560	883	691
561	886	690
562	887	688
563	889	687
564	890	685
565	894	685
566	895	684
567	897	682
568	898	680
569	900	679
570	901	677
571	903	675
572	904	674
573	906	672
574	909	672
575	910	670
576	912	668
577	925	675
578	926	673
579	928	672
580	929	670
581	931	668
582	932	667
583	934	665
584	935	663
585	937	662
586	938	660
587	940	659
588	942	657
589	943	655
590	945	654
591	946	652
592	947	650
593	949	648
594	950	647
595	952	645
596	953	643
597	973	654
598	974	652
599	976	650
600	977	649
601	979	647
602	980	645
603	982	644
604	983	642
605	988	642
606	989	640
607	990	638
608	992	637
609	993	635
610	995	633
611	996	632
612	998	630
613	1000	628
614	1002	627
615	1004	626
616	1005	624
617	1008	623
618	1010	621
619	1011	620
620	1013	618
621	1014	616
622	1018	616
623	1020	614
624	1021	613
625	1023	611
626	1024	609
627	1026	607
628	1027	606
629	1029	604
630	1030	602
631	1032	601
632	1033	599
633	1035	597
634	1036	595
635	1037	593
636	1038	591
637	1039	590
638	1041	588
639	1043	586
640	1045	585
641	1046	583
642	1048	582
643	1049	580
644	1051	578
645	1053	577
646	1058	577
647	1059	575
648	1062	574
649	1065	573
650	1066	571
651	1068	570
652	1069	568
653	1071	566
654	1072	564
655	1074	563
656	1075	561
657	1078	560
658	1079	558
659	1081	556
660	1082	555
661	1084	553
662	1085	551
663	1086	549
664	1089	548
665	1090	547
666	1094	546
667	1095	544
668	1097	542
669	1098	541
670	1104	541
671	1106	540
672	1114	541
673	1115	539
674	1116	537
675	1118	535
676	1120	534
677	1121	532
678	1126	532
679	1128	530
680	1130	529
681	1132	527
682	1133	526
683	1140	526
684	1141	525
685	1143	523
686	1144	521
687	1145	519
688	1147	517
689	1149	516
690	1151	514
691	1152	513
692	1156	512
693	1158	510
694	1160	509
695	1161	507
696	1162	505
697	1165	504
698	1166	502
699	1168	500
700	1170	499
701	1171	497
702	1173	495
703	1174	493
704	1176	492
705	1177	490
706	1178	488
707	1180	486
708	1181	484
709	1182	482
710	1185	482
711	1187	480
712	1190	479
713	1192	477
714	1193	475
715	1194	473
716	1196	472
717	1197	470
718	1198	468
719	1201	467
720	1202	465
721	1203	463
722	1204	461
723	1205	459
724	1207	457
725	1208	455
726	1209	454
727	1210	452
728	1211	450
729	1212	448
730	1214	446
731	1216	445
732	1218	443
733	1219	441
734	1220	440
735	1221	438
736	1223	436
737	1224	434
738	1225	432
739	1226	430
740	1227	428
741	1228	427
742	1229	425
743	1233	424
744	1234	422
745	1235	420
746	1236	418
747	1238	417
748	1239	415
749	1240	413
750	1242	411
751	1243	410
752	1246	408
753	1247	407
754	1249	405
755	1251	403
756	1253	402
757	1254	400
758	1256	398
759	1258	397
760	1259	395
761	1262	394
762	1263	392
763	1265	390
764	1266	389
765	1268	387
766	1270	385
767	1272	384
768	1273	382
769	1276	381
770	1277	379
771	1279	377
772	1280	376
773	1281	374
774	1283	372
775	1284	370
776	1285	368
777	1286	367
778	1288	365
779	1289	363
780	1292	362
781	1293	360
782	1294	358
783	1295	357
784	1297	355
785	1298	353
786	1300	351
787	1301	350
788	1302	348
789	1304	346
790	1306	345
791	1308	343
792	1309	341
793	1311	340
794	1312	338
795	1313	336
796	1314	334
797	1315	333
798	1317	331
799	1318	329
800	1320	327
801	1322	326
802	1323	324
803	1325	323
804	1326	321
805	1327	319
806	1328	317
807	1329	316
808	1331	314
809	1332	312
810	1333	310
811	1334	309
812	1336	307
813	1339	306
814	1342	304
815	1343	302
816	1345	301
817	1346	299
818	1348	297
819	1349	296
820	1351	294
821	1353	293
822	1356	291
823	1357	289
824	1359	288
825	1361	286
826	1363	285
827	1364	283
828	1367	282
829	1369	280
830	1370	278
831	1372	277
832	1373	275
833	1374	273
834	1376	271
835	1377	270
836	1378	268
837	1379	266
838	1380	265
839	1383	263
840	1384	261
841	1385	259
842	1386	258
843	1387	256
844	1389	254
845	1390	253
846	1391	251
847	1392	249
848	1393	247
849	1394	246
850	1396	244
851	1398	242
852	1399	241
853	1400	239
854	1402	237
855	1403	236
856	1404	234
857	1405	232
858	1406	230
859	1407	229
860	1409	227
861	1410	225
862	1413	224
863	1415	222
864	1416	221
865	1417	219
866	1418	217
867	1420	215
868	1421	214
869	1422	212
870	1423	210
871	1424	209
872	1426	207
873	1427	205
874	1428	204
875	1429	202
876	1431	200
877	1432	199
878	1433	197
879	1434	195
880	1435	193
881	1436	192
882	1438	190
883	1439	188
884	1440	187
885	1443	185
886	1445	184
887	1446	182
888	1447	180
889	1449	179
890	1450	177
891	1451	175
892	1453	174
893	1454	172
894	1455	170
895	1458	169
896	1459	167
897	1460	165
898	1462	164
899	1463	162
900	1464	160
901	1466	159
902	1468	157
903	1470	156
904	1473	154
905	1475	153
906	1476	151
907	1478	149
908	1480	148
909	1481	146
910	1483	144
911	1484	143
912	1486	141
913	1489	140
914	1490	138
915	1491	136
916	1493	135
917	1494	133
918	1495	131
919	1496	130
920	1497	128
921	1498	126
922	1499	125
923	1500	123
924	1501	121
925	1504	120
926	1505	118
927	1507	116
928	1508	115
929	1509	113
930	1510	111
931	1511	110
932	1512	108
933	1513	106
934	1515	105
935	1516	103
936	1518	102
937	1520	100
938	1521	98
939	1522	97
940	1523	95
941	1524	93
942	1525	92
943	1527	90
944	1528	88
945	1529	87
946	1530	85
947	1531	84
948	1534	82
949	1535	80
950	1536	79
951	1537	77
952	1538	75
953	1539	74
954	1540	72
955	1542	70
956	1543	69
957	1544	67
958	1545	66
959	1546	64
960	1548	62
961	1549	61
962	1550	59
963	1551	57
964	1553	56
965	1554	54
966	1555	53
967	1556	51
968	1557	49
969	1558	48
970	1560	46
971	1561	44
972	1562	43
973	1564	41
974	1565	40
975	1566	38
976	1567	36
977	1568	35
978	1569	33
979	1570	32
980	1571	30
981	1572	28
982	1573	27
983	1574	25
984	1576	24
985	1577	22
986	1579	20
987	1580	19
988	1581	17
989	1582	15
990	1583	14
991	1585	12
992	1586	11
993	1587	9
994	1588	7
995	1589	6
996	1590	4
997	1591	3
998	1592	1
999	1594	0
